Sample,FAT1,DSP,MAPK10,HBEGF,MUC5B,SRGAP3,AGER,RNF5
Norm1,11.0149762337052,9.46397947913395,7.41764287980558,9.86561445948487,7.55256469110289,7.07135625224395,13.1594323810672,11.7500110941785
Norm2,10.8010327840157,9.90655981985174,6.81696406736348,9.15928132250544,4.66520782436982,6.12307370989219,12.8683284039782,11.4583218262917
Norm3,11.533857879314,9.88661171821234,8.15082853823771,9.00169754354308,9.69365367169571,7.5700091732958,10.7010353071691,9.63647749970405
Norm4,10.7946991014777,10.1350198931056,7.33984858482109,8.16032943295081,4.56158534343124,5.97258040515065,11.9449636835943,10.4471681343726
Norm5,10.6517659818829,8.04420073049563,7.43747482648029,10.9200214118333,8.78984875223119,7.29010271744317,13.2334698599749,11.9020981965481
Norm6,11.3967027579562,9.7026193435644,7.78293224254838,9.30237442194752,7.1669885036002,7.31636783082068,11.0258607955132,9.73886775429978
Norm8,10.8574376414002,9.96490857535872,7.60901616922289,10.4558443616356,7.03604015921859,7.46717357976658,13.5681264796754,12.1396667134171
IPF1,11.9414784107274,8.96312196840102,7.43077983304954,9.1707591242413,6.67995780326529,7.39373204382236,11.042842025581,9.69942771630926
IPF2,11.8396180093438,10.7860490250768,8.50963747804543,8.63905268215624,10.9664148119822,7.92880180360073,8.90981842105751,8.18342925572584
IPF3,12.313189195531,11.8303715424438,8.47725429322133,7.83878902198775,13.1261480245579,8.8912802712729,7.38370044503441,7.39143475735421
IPF4,12.120123676772,11.4921510879877,9.17709921520362,8.98997672161756,13.1273615857888,8.92902629511764,8.26760144363751,7.86528208713028
IPF5,11.8247304756845,11.5709894875602,8.88249271427632,8.70882010633076,13.7606406859786,9.34420027165821,6.67495446529295,7.37243280130337
IPF6,11.7430399018967,10.7125359271442,7.77507523872239,9.17027281252795,13.8467806530512,7.74877297934514,8.54443593137309,8.13123147083075
IPF7,12.1340152092923,9.02680846257498,7.28285758230317,8.6763337449927,5.45978976173397,7.48676555383019,11.730943398773,10.1389774674411
IPF8,11.7475268380118,9.63096751337782,7.57557761832367,8.56889705924086,9.44236836022369,7.56977824966871,11.9415594579065,10.5155354615141
